the	art.ال
case	n+f.حالة@n+f.قضية
project	n+m.مشروع@v.يعرض
same	a.نفس@a+m.ذاته@a+f.ذاتها
pages	n+f.صفحات
version	n+f.نسخة@n+m.إصدار
section	n+m.قسم
own	a+m.خاص@a+f.خاصة@v.يملك
found	v.وجد@v.يؤسس
sports	n+f.رياضات@n+f.رياضة
house	n+m.بيت@n+m.منزل
related	a+m.متعلق@a+f.متعلقة@a+m.مرتبط@a+f.مرتبطة
security	n+m.أمن@n+f.حماية
both	pron.كلاهما@a.كلا
county	n+f.مقاطعة
american	a+m.أمريكي@a+f.أمريكية@n+m.أمريكي@n+f.أمريكية
photo	n+f.صورة
game	n+f.لعبة
members	n+m.أعضاء
power	n+f.قوة@n+f.طاقة@v.يشغل
while	conj.بينما@n+f.فترة
care	n+f.رعاية@n+m.اهتمام@v.يهتم
network	n+f.شبكة
down	ad.أسفل@prep.إلى أسفل@a+m.منخفض@a+f.منخفضة
computer	n+m.حاسوب@n+m.كمبيوتر
systems	n+f.أنظمة
three	n+m.ثلاثة@a.ثلاثة
total	n+m.مجموع@a+m.إجمالي@a+f.إجمالية
place	n+m.مكان@v.يضع
end	n+f.نهاية@v.ينهي
following	a+m.تالٍ@a+f.تالية@n+m.متابعون
download	v.يحمّل@n+m.تحميل
him	pron+m.ـه@pron+m.إياه
without	prep.بدون@prep.من دون
per	prep.لكل@prep.في
access	n+m.وصول@v.يصل إلى
think	v.يفكر@v.يعتقد
north	n+m.شمال@a+m.شمالي@a+f.شمالية
resources	n+f.موارد
current	a+m.حالي@a+f.حالية@n+m.تيار
posts	n+f.منشورات@n+f.وظائف
big	a+m.كبير@a+f.كبيرة
media	n+f.وسائل إعلام
law	n+m.قانون
control	n+f.سيطرة@v.يسيطر
water	n+m.ماء
history	n+m.تاريخ
pictures	n+f.صور
size	n+m.حجم@n+m.مقاس
art	n+m.فن
personal	a+m.شخصي@a+f.شخصية
since	prep.منذ@conj.منذ أن
including	prep.بما في ذلك@prep.شاملاً
guide	n+m.دليل@n+m.مرشد@v.يرشد
shop	n+m.متجر@v.يتسوق
directory	n+m.دليل@n+m.فهرس
board	n+m.مجلس@n+f.لوحة
location	n+m.موقع@n+m.مكان
change	n+m.تغيير@v.يغير
white	a+m.أبيض@a+f.بيضاء@n+m.أبيض
text	n+m.نص@v.يرسل رسالة
small	a+m.صغير@a+f.صغيرة
rating	n+m.تقييم@n+f.درجة
rate	n+m.معدل@n+f.نسبة@v.يقيّم
government	n+f.حكومة
children	n+m.أطفال
during	prep.خلال@prep.أثناء
return	v.يعود@n+f.عودة@n+m.إرجاع
students	n+m.طلاب
shopping	n+m.تسوق
account	n+m.حساب
times	n+f.أوقات@n+f.مرات
sites	n+f.مواقع
level	n+m.مستوى
digital	a+m.رقمي@a+f.رقمية
profile	n+m.ملف شخصي@n+f.صورة جانبية
previous	a+m.سابق@a+f.سابقة
form	n+m.نموذج@n+f.استمارة@v.يشكل
events	n+f.أحداث@n+f.فعاليات
love	n+m.حب@v.يحب
old	a+m.قديم@a+f.قديمة@a+m.كبير السن
john	n+m.جون
main	a+m.رئيسي@a+f.رئيسية
call	v.يتصل@v.يدعو@n+f.مكالمة
hours	n+f.ساعات
image	n+f.صورة
department	n+m.قسم@n+f.إدارة
title	n+m.عنوان@n+f.لقب
description	n+m.وصف
non	a.غير
insurance	n+m.تأمين
another	a+m.آخر@a+f.أخرى@pron.آخر
why	ad.لماذا
shall	v.سوف
property	n+f.ملكية@n+m.عقار
class	n+m.صف@n+f.فئة@n+f.طبقة
cd	n+m.قرص مضغوط
still	ad.لا يزال@ad.ما زال@a+m.ساكن@a+f.ساكنة
money	n+m.مال@n+f.نقود
quality	n+f.جودة@n+f.نوعية
every	a.كل
listing	n+f.قائمة@n+m.إدراج
content	n+m.محتوى@a+m.راضٍ@a+f.راضية
country	n+m.بلد@n+f.دولة@n+m.ريف
private	a+m.خاص@a+f.خاصة@a+m.سري@a+f.سرية
little	a+m.صغير@a+f.صغيرة@a+m.قليل@a+f.قليلة
visit	v.يزور@n+f.زيارة
save	v.يحفظ@v.يوفر
tools	n+f.أدوات
low	a+m.منخفض@a+f.منخفضة
reply	v.يرد@n+m.رد
customer	n+m.عميل@n+m.زبون
december	n+m.ديسمبر
compare	v.يقارن
movies	n+f.أفلام
include	v.يشمل@v.يتضمن
college	n+f.كلية@n+f.جامعة
value	n+f.قيمة@v.يقدر
article	n+f.مقالة@n+m.بند
york	n+m.يورك
man	n+m.رجل@n+m.إنسان
card	n+f.بطاقة
jobs	n+f.وظائف
provide	v.يوفر@v.يقدم
food	n+m.طعام@n+m.غذاء
source	n+m.مصدر
author	n+m.مؤلف@n+f.مؤلفة
different	a+m.مختلف@a+f.مختلفة
press	n+f.صحافة@v.يضغط
learn	v.يتعلم
sale	n+m.بيع@n+f.تخفيضات
around	prep.حول@ad.تقريباً
print	v.يطبع@n+f.طباعة
course	n+f.دورة@n+m.مسار
job	n+f.وظيفة@n+m.عمل
canada	n+f.كندا
process	n+f.عملية@v.يعالج
teen	n+m.مراهق@n+f.مراهقة
room	n+f.غرفة
stock	n+m.مخزون@n+f.أسهم
training	n+m.تدريب
too	ad.أيضاً@ad.جداً
credit	n+m.ائتمان@n+f.فضل
point	n+f.نقطة@v.يشير
join	v.ينضم@v.يربط
science	n+m.علم
men	n+m.رجال
categories	n+f.فئات
advanced	a+m.متقدم@a+f.متقدمة
west	n+m.غرب@a+m.غربي@a+f.غربية
sales	n+f.مبيعات
look	v.ينظر@n+f.نظرة
english	a+m.إنجليزي@a+f.إنجليزية@n+f.إنجليزية
left	a+m.يسار@v.غادر@a+m.متبقٍ@a+f.متبقية
team	n+m.فريق
estate	n+f.عقارات@n+f.تركة
box	n+m.صندوق
conditions	n+f.شروط@n+f.ظروف
select	v.يختار@a+m.مختار@a+f.مختارة
windows	n+f.نوافذ@n+m.ويندوز
photos	n+f.صور
gay	a+m.مثلي@a+f.مثلية@n+m.مثلي
thread	n+m.خيط@n+m.موضوع
week	n+m.أسبوع
category	n+f.فئة
note	n+f.ملاحظة@v.يلاحظ
live	v.يعيش@a+m.حي@a+f.حية@a+m.مباشر@a+f.مباشرة
large	a+m.كبير@a+f.كبيرة
gallery	n+m.معرض
table	n+f.طاولة@n+m.جدول
register	v.يسجل@n+m.سجل
however	ad.ومع ذلك@conj.لكن
june	n+m.يونيو
october	n+m.أكتوبر
november	n+m.نوفمبر
market	n+m.سوق@v.يسوق
library	n+f.مكتبة
really	ad.حقاً@ad.فعلاً
action	n+m.فعل@n+f.إجراء
start	v.يبدأ@n+f.بداية
series	n+f.سلسلة
model	n+m.نموذج@n+f.عارضة
features	n+f.ميزات@n+f.خصائص
air	n+m.هواء@n+f.جو
industry	n+f.صناعة
plan	n+f.خطة@v.يخطط
human	a+m.بشري@a+f.بشرية@n+m.إنسان
provided	v.وفر@a+m.مقدم@a+f.مقدمة@conj.شريطة أن
yes	ad.نعم
required	a+m.مطلوب@a+f.مطلوبة
second	a+m.ثانٍ@a+f.ثانية@n+f.ثانية
hot	a+m.حار@a+f.حارة@a+m.ساخن@a+f.ساخنة
accessories	n+f.إكسسوارات
cost	n+f.تكلفة@v.يكلف
movie	n+m.فيلم
forums	n+f.منتديات
march	n+m.مارس@v.يسير
la	n+f.لوس أنجلوس
september	n+m.سبتمبر
better	a.أفضل@ad.أفضل
say	v.يقول
questions	n+f.أسئلة
july	n+m.يوليو
yahoo	n+m.ياهو
going	v.ذاهب@a+m.جارٍ@a+f.جارية
medical	a+m.طبي@a+f.طبية
test	n+m.اختبار@v.يختبر
friend	n+m.صديق@n+f.صديقة
come	v.يأتي
dec	n+m.ديسمبر
server	n+m.خادم
pc	n+m.حاسوب شخصي
study	n+f.دراسة@v.يدرس
application	n+m.تطبيق@n+f.طلب
cart	n+f.عربة
staff	n+m.موظفون@n+m.طاقم
articles	n+f.مقالات
san	n+f.سان
feedback	n+f.ملاحظات@n+m.تعليق
again	ad.مرة أخرى@ad.ثانية
play	v.يلعب@n+f.لعبة@n+f.مسرحية
looking	v.يبحث@v.ينظر
issues	n+f.قضايا@n+f.مشاكل
april	n+m.أبريل
never	ad.أبداً
users	n+m.مستخدمون
complete	a+m.كامل@a+f.كاملة@v.يكمل
street	n+m.شارع
topic	n+m.موضوع
comment	n+m.تعليق@v.يعلق
financial	a+m.مالي@a+f.مالية
things	n+f.أشياء
working	v.يعمل@a+m.عامل@a+f.عاملة
against	prep.ضد
standard	n+m.معيار@a+m.قياسي@a+f.قياسية
tax	n+f.ضريبة@v.يفرض ضريبة
person	n+m.شخص
below	prep.تحت@ad.أدناه
mobile	a+m.متنقل@a+f.متنقلة@n+m.هاتف محمول
less	a.أقل@ad.أقل
got	v.حصل
blog	n+f.مدونة
party	n+m.حزب@n+f.حفلة
payment	n+m.دفع@n+f.دفعة
equipment	n+f.معدات
login	n+m.تسجيل دخول@v.يسجل الدخول
student	n+m.طالب@n+f.طالبة
let	v.يسمح@v.يدع
programs	n+f.برامج
offers	n+f.عروض@v.يعرض
legal	a+m.قانوني@a+f.قانونية
above	prep.فوق@ad.أعلاه
recent	a+m.حديث@a+f.حديثة
park	n+f.حديقة@v.يركن
stores	n+f.متاجر
side	n+m.جانب@n+f.جهة
act	n+m.فعل@n+m.قانون@v.يتصرف
problem	n+f.مشكلة
red	a+m.أحمر@a+f.حمراء@n+m.أحمر
give	v.يعطي
memory	n+f.ذاكرة
performance	n+m.أداء
social	a+m.اجتماعي@a+f.اجتماعية
august	n+m.أغسطس
quote	n+f.اقتباس@n+m.سعر@v.يقتبس
language	n+f.لغة
story	n+f.قصة
sell	v.يبيع
options	n+f.خيارات
experience	n+f.خبرة@n+f.تجربة@v.يختبر
rates	n+f.أسعار@n+f.معدلات
create	v.ينشئ@v.يخلق
key	n+m.مفتاح@a+m.رئيسي@a+f.رئيسية
body	n+m.جسم@n+f.هيئة
young	a+m.شاب@a+f.شابة@a+m.صغير@a+f.صغيرة
america	n+f.أمريكا
important	a+m.مهم@a+f.مهمة
field	n+m.حقل@n+m.مجال
few	a.قليل@pron.قليلون
east	n+m.شرق@a+m.شرقي@a+f.شرقية
paper	n+f.ورقة@n+m.بحث
single	a+m.واحد@a+f.واحدة@a+m.أعزب@a+f.عزباء
ii	n+m.الثاني
age	n+m.عمر@n+f.حقبة
activities	n+f.أنشطة
club	n+m.نادٍ
example	n+m.مثال
girls	n+f.بنات@n+f.فتيات
additional	a+m.إضافي@a+f.إضافية
password	n+f.كلمة مرور
latest	a.أحدث
something	pron.شيء ما
road	n+m.طريق
gift	n+f.هدية
question	n+m.سؤال@v.يسأل
changes	n+f.تغييرات
night	n+m.ليل@n+f.ليلة
hard	a+m.صعب@a+f.صعبة@a+m.صلب@a+f.صلبة
texas	n+f.تكساس
oct	n+m.أكتوبر
pay	v.يدفع@n+m.راتب
four	n+m.أربعة@a.أربعة
poker	n+m.بوكر
status	n+f.حالة@n+m.وضع
browse	v.يتصفح
issue	n+f.قضية@n+m.إصدار@v.يصدر
range	n+m.نطاق@n+f.مجموعة@v.يتراوح
building	n+m.مبنى@n+f.بناية
seller	n+m.بائع
court	n+f.محكمة@n+m.ملعب
february	n+m.فبراير
always	ad.دائماً
result	n+f.نتيجة@v.ينتج
audio	n+m.صوت@a+m.صوتي@a+f.صوتية
light	n+m.ضوء@n+m.نور@a+m.خفيف@a+f.خفيفة
write	v.يكتب
war	n+f.حرب
nov	n+m.نوفمبر
offer	v.يعرض@n+m.عرض
blue	a+m.أزرق@a+f.زرقاء@n+m.أزرق
groups	n+f.مجموعات
al	art.ال
easy	a+m.سهل@a+f.سهلة
given	a+m.معطى@a+f.معطاة@prep.بالنظر إلى
files	n+f.ملفات
event	n+m.حدث@n+f.فعالية
release	v.يطلق@n+m.إصدار@n+m.إطلاق
analysis	n+m.تحليل
request	n+m.طلب@v.يطلب
fax	n+m.فاكس@v.يرسل فاكس
china	n+f.الصين
making	v.يصنع@n+f.صناعة
picture	n+f.صورة
needs	n+f.احتياجات@v.يحتاج
possible	a+m.ممكن@a+f.ممكنة
might	v.قد@n+f.قوة
professional	a+m.محترف@a+f.محترفة@n+m.محترف@n+f.محترفة
yet	ad.بعد@conj.لكن
month	n+m.شهر
major	a+m.رئيسي@a+f.رئيسية@n+m.رائد
star	n+m.نجم@n+f.نجمة
areas	n+f.مناطق
future	n+m.مستقبل@a+m.مستقبلي@a+f.مستقبلية
space	n+f.مساحة@n+m.فضاء
committee	n+f.لجنة
hand	n+f.يد@v.يسلم
sun	n+f.شمس
cards	n+f.بطاقات
problems	n+f.مشاكل
london	n+f.لندن
washington	n+f.واشنطن
meeting	n+m.اجتماع@n+f.مقابلة
become	v.يصبح
interest	n+f.فائدة@n+m.اهتمام@v.يهتم
id	n+f.هوية
child	n+m.طفل@n+f.طفلة
keep	v.يحتفظ@v.يبقي
enter	v.يدخل
california	n+f.كاليفورنيا
porn	n+m.إباحية
share	v.يشارك@n+f.حصة@n+m.سهم
similar	a+m.مشابه@a+f.مشابهة
garden	n+f.حديقة
schools	n+f.مدارس
million	n+m.مليون
added	v.أضاف@a+m.مضاف@a+f.مضافة
reference	n+m.مرجع@n+f.إشارة
companies	n+f.شركات
listed	a+m.مدرج@a+f.مدرجة
baby	n+m.طفل رضيع@n+f.طفلة رضيعة
learning	n+m.تعلم
energy	n+f.طاقة
run	v.يجري@v.يدير@n+m.جري
delivery	n+m.توصيل@n+f.ولادة
net	n+f.شبكة@a+m.صافٍ@a+f.صافية
popular	a+m.شعبي@a+f.شعبية@a+m.شائع@a+f.شائعة
term	n+m.مصطلح@n+f.فترة
film	n+m.فيلم@v.يصور
stories	n+f.قصص
put	v.يضع
computers	n+f.حواسيب
journal	n+f.مجلة@n+m.يوميات
reports	n+f.تقارير
co	n+f.شركة
try	v.يحاول@n+f.محاولة
welcome	int.أهلاً@v.يرحب@n+m.ترحيب
central	a+m.مركزي@a+f.مركزية
images	n+f.صور
president	n+m.رئيس
notice	n+m.إشعار@v.يلاحظ
god	n+m.إله@n+m.الله
original	a+m.أصلي@a+f.أصلية
head	n+m.رأس@n+m.رئيس@v.يترأس
radio	n+m.راديو
until	prep.حتى@conj.حتى
cell	n+f.خلية@n+m.هاتف محمول
self	n+f.ذات@n+f.نفس
council	n+m.مجلس
away	ad.بعيداً
includes	v.يشمل
track	n+m.مسار@v.يتتبع
australia	n+f.أستراليا
discussion	n+f.مناقشة
archive	n+m.أرشيف@v.يؤرشف
once	ad.مرة@conj.بمجرد أن
others	pron.آخرون@n+m.آخرون
entertainment	n+m.ترفيه
agreement	n+f.اتفاقية@n+m.اتفاق
format	n+m.تنسيق@n+f.صيغة@v.ينسق
least	a.أقل@ad.على الأقل
society	n+m.مجتمع
months	n+f.أشهر
log	n+m.سجل@v.يسجل
safety	n+f.سلامة@n+m.أمان
friends	n+m.أصدقاء
sure	a+m.متأكد@a+f.متأكدة@ad.بالتأكيد
trade	n+f.تجارة@v.يتاجر
edition	n+f.طبعة@n+m.إصدار
cars	n+f.سيارات
messages	n+f.رسائل
marketing	n+m.تسويق
tell	v.يخبر
further	a.إضافي@ad.أبعد
updated	a+m.محدث@a+f.محدثة
association	n+f.جمعية@n+م.رابطة
able	a+m.قادر@a+f.قادرة
having	v.يملك
provides	v.يوفر
david	n+m.داوود
fun	n+m.مرح@n+f.متعة@a+m.ممتع@a+f.ممتعة
already	ad.بالفعل
green	a+m.أخضر@a+f.خضراء@n+m.أخضر
studies	n+f.دراسات
close	v.يغلق@a+m.قريب@a+f.قريبة@ad.بالقرب
common	a+m.شائع@a+f.شائعة@a+m.مشترك@a+f.مشتركة
drive	v.يقود@n+m.محرك@n+f.رحلة
specific	a+m.محدد@a+f.محددة
several	a.عدة
gold	n+m.ذهب@a+m.ذهبي@a+f.ذهبية
feb	n+m.فبراير
living	n+f.معيشة@a+m.حي@a+f.حية
sep	n+m.سبتمبر
collection	n+f.مجموعة
called	v.سمى@a+m.مسمى@a+f.مسماة
short	a+m.قصير@a+f.قصيرة
arts	n+f.فنون
lot	n+m.كثير@n+f.قطعة أرض
ask	v.يسأل@v.يطلب
display	n+f.شاشة@n+m.عرض@v.يعرض
limited	a+m.محدود@a+f.محدودة
powered	a+m.مشغّل@a+f.مشغّلة
solutions	n+f.حلول
means	n+f.وسيلة@v.يعني
director	n+m.مدير@n+f.مديرة
daily	a+m.يومي@a+f.يومية@ad.يومياً
beach	n+m.شاطئ
past	n+m.ماضٍ@a+m.ماضٍ@a+f.ماضية@prep.بعد
natural	a+m.طبيعي@a+f.طبيعية
whether	conj.سواء@conj.إذا كان
due	a+m.مستحق@a+f.مستحقة@prep.بسبب
electronics	n+f.إلكترونيات
five	n+m.خمسة@a.خمسة
upon	prep.على@prep.عند
period	n+f.فترة@n+f.نقطة
planning	n+m.تخطيط
database	n+f.قاعدة بيانات
says	v.يقول
official	a+m.رسمي@a+f.رسمية@n+m.مسؤول
weather	n+m.طقس
mar	n+m.مارس
land	n+f.أرض@v.يهبط
average	n+m.متوسط@a+m.متوسط@a+f.متوسطة
done	a+m.منتهٍ@a+f.منتهية@v.فعل
technical	a+m.تقني@a+f.تقنية@a+m.فني@a+f.فنية
window	n+f.نافذة
france	n+f.فرنسا
pro	n+m.محترف@a+m.محترف@a+f.محترفة
region	n+f.منطقة
island	n+f.جزيرة
record	n+m.سجل@n+f.تسجيلة@v.يسجل
direct	a+m.مباشر@a+f.مباشرة@v.يوجه
microsoft	n+f.مايكروسوفت
conference	n+m.مؤتمر
environment	n+f.بيئة
records	n+f.سجلات
st	n+m.شارع@n+m.قديس
district	n+f.منطقة@n+f.حي
calendar	n+م.تقويم
costs	n+f.تكاليف
style	n+m.أسلوب@n+f.طريقة
front	n+f.واجهة@n+m.أمام@a+m.أمامي@a+f.أمامية
statement	n+m.بيان@n+f.تصريح
update	v.يحدث@n+m.تحديث
parts	n+f.أجزاء
aug	n+m.أغسطس
ever	ad.أبداً@ad.على الإطلاق
downloads	n+f.تحميلات
early	a+m.مبكر@a+f.مبكرة@ad.مبكراً
miles	n+f.أميال
sound	n+m.صوت@a+m.سليم@a+f.سليمة@v.يبدو
resource	n+m.مورد
present	a+m.حاضر@a+f.حاضرة@n+f.هدية@v.يقدم
applications	n+f.تطبيقات@n+f.طلبات
either	pron.أي@conj.إما
ago	ad.منذ
document	n+f.وثيقة@n+m.مستند@v.يوثق
word	n+f.كلمة
works	n+f.أعمال@v.يعمل
material	n+f.مادة@a+m.مادي@a+f.مادية
bill	n+f.فاتورة@n+m.مشروع قانون
apr	n+m.أبريل
written	a+m.مكتوب@a+f.مكتوبة
talk	v.يتحدث@n+m.حديث
federal	a+m.فيدرالي@a+f.فيدرالية
hosting	n+f.استضافة
rules	n+f.قواعد
final	a+m.نهائي@a+f.نهائية
adult	n+m.بالغ@n+f.بالغة@a+m.بالغ@a+f.بالغة
tickets	n+f.تذاكر
thing	n+m.شيء
centre	n+m.مركز
requirements	n+f.متطلبات
via	prep.عبر@prep.من خلال
cheap	a+m.رخيص@a+f.رخيصة
nude	a+m.عارٍ@a+f.عارية
kids	n+m.أطفال
